representation,classifier,protocol,metric,filtered_point,baseline_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
hubert,svm_rbf,S_R,f1,0.22829916816262205,0.36638350469827785,-0.1380843365356558,-0.13733490565176845,0.033977346374717714,-0.20653619836820028,-0.07332087734863589,0.0,2000,subject,CI excludes zero
hubert,svm_rbf,S_R,balanced_accuracy,0.5214585975109285,0.5503098468146098,-0.028851249303681326,-0.028375396418571838,0.012632812962008893,-0.055340435549510895,-0.007426123483184351,0.005,2000,subject,CI excludes zero
hubert,svm_rbf,S_R,roc_auc,0.5455520629301627,0.5951301688368762,-0.04957810590671352,-0.04918862894275121,0.018640595742845906,-0.08588549039770273,-0.015161471884293615,0.004,2000,subject,CI excludes zero
hubert,svm_rbf,S_R,mcc,0.042495327054059596,0.1108711692961807,-0.0683758422421211,-0.06753513548528704,0.028893658904003264,-0.12769002598796367,-0.017264759106849836,0.007,2000,subject,CI excludes zero
hubert,mlp,R_R,f1,0.47131186448634643,0.5186200903570148,-0.04730822587066841,-0.047031938209251604,0.017088841957712795,-0.08070485006075916,-0.014663458487955324,0.007,2000,subject,CI excludes zero
hubert,mlp,R_R,balanced_accuracy,0.5554807866635875,0.5616635836113433,-0.006182796947755809,-0.005957067390838166,0.006858432190371895,-0.019605415301750095,0.006949624766367208,0.378,2000,subject,CI includes zero
hubert,mlp,R_R,roc_auc,0.6085473674787524,0.6063007463714924,0.0022466211072599274,0.0020447971290628005,0.008454848736125583,-0.01440848026429372,0.01889560491144106,0.807,2000,subject,CI includes zero
hubert,mlp,R_R,mcc,0.12089884650000932,0.1286242981325744,-0.007725451632565078,-0.00733606957880827,0.014486113943538534,-0.03621352752364294,0.020761462685315497,0.597,2000,subject,CI includes zero
hubert,mlp,S_S,f1,0.4588804479828691,0.5345681341258895,-0.07568768614302046,-0.07586951183283128,0.02180410838215322,-0.11833459188672137,-0.03199546154908995,0.0,2000,subject,CI excludes zero
hubert,mlp,S_S,balanced_accuracy,0.5777008355497125,0.5780297994920441,-0.0003289639423316171,-0.0006388931451965465,0.008187871240293559,-0.016353269869843343,0.01573692180544447,0.943,2000,subject,CI includes zero
hubert,mlp,S_S,roc_auc,0.6446121096188806,0.62348589285853,0.021126216760350647,0.020770218611517403,0.009733357841143932,0.0019304326566614253,0.039581668896743284,0.03,2000,subject,CI excludes zero
hubert,mlp,S_S,mcc,0.16314513796575722,0.16387524907680642,-0.0007301111110492031,-0.0013481648123044518,0.016593334978283265,-0.034011864735878694,0.03202102262192512,0.927,2000,subject,CI includes zero
hubert,mlp,R_S,f1,0.2185962116637146,0.3598040286501471,-0.1412078169864325,-0.14087804880832375,0.030505056821851523,-0.1990314587464155,-0.07964939440090985,0.0,2000,subject,CI excludes zero
