representation,classifier,protocol,metric,ablation_point,full_fusion_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_minus_data2vec_spectrogram,mlp,S_S,f1,0.5395032271772534,0.5025136534967626,0.03698957368049083,0.03689895991002209,0.022760709244685776,-0.006763599923386985,0.08196066888214673,0.102,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,mlp,S_S,balanced_accuracy,0.572001895449184,0.5748047249333063,-0.002802829484122249,-0.0026608217760056476,0.0078000991213896635,-0.017794561865810122,0.012919855734984012,0.733,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,mlp,S_S,roc_auc,0.6245255201326737,0.6245613937741804,-3.587364150670069e-05,0.00016946962640979174,0.009385346715296712,-0.017541583045933503,0.019294963095072993,0.992,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,mlp,S_S,mcc,0.15000726734595807,0.15343068479065233,-0.0034234174446942656,-0.003015165680114823,0.0158489575969167,-0.03256319760842339,0.028916449236132773,0.837,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,mlp,R_S,f1,0.3795380073836323,0.3753025557873346,0.004235451596297679,0.0019646447284862307,0.034721265105789795,-0.06676592074556717,0.06991815058276375,0.976,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,mlp,R_S,balanced_accuracy,0.5400316923512978,0.5365084213369236,0.0035232710143742185,0.003076889823838075,0.012500066730533003,-0.019321577083576565,0.029137738733449478,0.849,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,mlp,R_S,roc_auc,0.5891519748649819,0.5894127854276332,-0.0002608105626512591,-0.00039086204012148205,0.01323953692004613,-0.024641584281202153,0.02663855581531087,0.936,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,mlp,R_S,mcc,0.08610251629686384,0.08533290587085518,0.0007696104260086628,5.349710781745787e-06,0.027055822659949002,-0.05028652730170107,0.05503782034656146,0.965,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,mlp,S_R,f1,0.2681928611068871,0.29115944683961503,-0.022966585732727918,-0.02335418573084188,0.03241087540399141,-0.08945286641243308,0.03768626464405674,0.48,2000,subject,CI includes zero
full_minus_data2vec_spectrogram,mlp,S_R,balanced_accuracy,0.5198219412469047,0.5258815813137964,-0.006059640066891636,-0.006106503960797021,0.007258106925847847,-0.02051347984678272,0.007738614305898359,0.411,2000,subject,CI includes zero
