representation,classifier,protocol,fold,dimension,metric,fixed_point,baseline_point,point_difference,bootstrap_mean_difference,bootstrap_std,ci95_low,ci95_high,p_value_two_sided,bootstrap_iterations,unit,interpretation
full_fusion,svm_rbf,S_R,3,384,roc_auc,0.6177329135368805,0.5831373383552287,0.034595575181651794,0.03484821247242795,0.007556969745300489,0.019728984719501824,0.04885255111261909,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,3,384,mcc,0.15900896493175395,0.08554876119566193,0.07346020373609202,0.07336811785907071,0.022151055290749642,0.028380894142893756,0.11374106850151865,0.002,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,3,768,f1,0.4271388613967141,0.667149992418375,-0.24001113102166094,-0.24078790712546375,0.030614508851354895,-0.3046328452475609,-0.18577953628406393,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,3,768,balanced_accuracy,0.5306139637255852,0.5,0.030613963725585225,0.030171287765981738,0.009881161107908723,0.012222521179499709,0.050568365852412145,0.001,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,3,768,roc_auc,0.5792754124366872,0.5612845244551921,0.017990887981495174,0.017979218120479933,0.01090917591996693,-0.0034636925547945224,0.03932398903363844,0.107,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,3,768,mcc,0.0645154054853889,0.0,0.0645154054853889,0.06356621770152676,0.021333337585232957,0.02553489103976646,0.10851063757774762,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,3,1536,f1,0.45743278781458097,0.667149992418375,-0.20971720460379406,-0.20860133899987898,0.04864291066889232,-0.31503841633659896,-0.12716943564385605,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,3,1536,balanced_accuracy,0.5464923625036027,0.5,0.04649236250360267,0.04706841437658802,0.014729765716917101,0.01617959593076022,0.07296255121813208,0.001,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,3,1536,roc_auc,0.5951610329251098,0.5,0.0951610329251098,0.09631299638700776,0.023919792803325967,0.05070070936481069,0.1433678837281202,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,3,1536,mcc,0.10686264040527152,0.0,0.10686264040527152,0.10810209024497427,0.03318088423149673,0.04206725734209942,0.16871046489390765,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,4,384,f1,0.4299570646202685,0.017701515505688017,0.4122555491145805,0.41129500503419286,0.06944279055307141,0.2708865790438749,0.536886487584507,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,4,384,balanced_accuracy,0.5557880824734757,0.49948210852310904,0.05630597395036663,0.05593328140588587,0.014150237293966835,0.028068301043751763,0.08472323421337856,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,4,384,roc_auc,0.6012925992898277,0.5782000219524728,0.023092577337354925,0.023493515893750594,0.02236498129551183,-0.0193718099167464,0.06974034346363782,0.303,2000,subject,CI includes zero
full_fusion,svm_rbf,S_R,4,384,mcc,0.12056505802149822,0.002364894523094704,0.11820016349840352,0.11725157506817763,0.03664854523308174,0.046958519191219315,0.18994449985288853,0.0,2000,subject,CI excludes zero
full_fusion,svm_rbf,S_R,4,768,f1,0.38663260970938396,0.6734057374060001,-0.2867731276966161,-0.28949432937320707,0.0876103823812664,-0.46163196646743543,-0.12677497603992793,0.0,2000,subject,CI excludes zero
